"typeID","typeName","manufacture","group_level1","group_level2","group_level3","group_level4","group_level5","group_level6","group_level7"
355798,"Basic Railgun Damage Amplifer","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Turret Upgrades","Damage Amplifiers","Hybrid Damage Amplifiers","Railgun Damage Amplifiers"
355799,"Enhanced Railgun Damage Amplifer","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Turret Upgrades","Damage Amplifiers","Hybrid Damage Amplifiers","Railgun Damage Amplifiers"
355800,"Complex Railgun Damage Amplifer","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Turret Upgrades","Damage Amplifiers","Hybrid Damage Amplifiers","Railgun Damage Amplifiers"
355802,"Basic Blaster Damage Amplifier","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Turret Upgrades","Damage Amplifiers","Hybrid Damage Amplifiers","Blaster Damage Amplifiers"
355803,"Enhanced Blaster Damage Amplifier","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Turret Upgrades","Damage Amplifiers","Hybrid Damage Amplifiers","Blaster Damage Amplifiers"
355804,"Complex Blaster Damage Amplifier","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Turret Upgrades","Damage Amplifiers","Hybrid Damage Amplifiers","Blaster Damage Amplifiers"
355898,"Basic Missile Damage Amplifier","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Turret Upgrades","Damage Amplifiers","Missile Damage Amplifiers","Missile Damage Amplifiers"
355903,"Enhanced Missile Damage Amplifier","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Turret Upgrades","Damage Amplifiers","Missile Damage Amplifiers","Missile Damage Amplifiers"
355904,"Complex Missile Damage Amplifier","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Turret Upgrades","Damage Amplifiers","Missile Damage Amplifiers","Missile Damage Amplifiers"
350916,"Plasma Cannon","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Plasma Cannons","Standard",NULL
351063,"Heavy Machine Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Heavy","Heavy Machine Guns","Standard",NULL
351297,"20GJ Blaster","NG","Infantry Gear","Vehicles and Gear","Vehicle Turrets","Blaster","Small","Standard",NULL
351310,"ST-1 Missile Launcher","NG","Infantry Gear","Vehicles and Gear","Vehicle Turrets","Missile","Small","Standard",NULL
351311,"ST-201 Missile Launcher","NG","Infantry Gear","Vehicles and Gear","Vehicle Turrets","Missile","Large","Standard",NULL
