"regionID","solarSystemID","solarSystemName","security","securityClass"
10000001,30000001,"Tanoo",0.858324,"B"
10000001,30000002,"Lashesih",0.751689,"B"
10000001,30000003,"Akpivem",0.846292,"B"
10000001,30000004,"Jark",0.817001,"B"
10000001,30000005,"Sasta",0.814337,"B"
10000001,30000006,"Zaid",0.864229,"B"
10000001,30000007,"Yuzier",0.906556,"B"
10000001,30000008,"Nirbhi",0.882116,"B"
10000001,30000009,"Sooma",0.577819,"B1"
10000001,30000010,"Chidah",0.539052,"B1"
10000001,30000011,"Shenela",0.456959,"B1"
10000001,30000012,"Asabona",0.322884,"B2"
10000001,30000013,"Onsooh",0.442817,"B2"
10000001,30000014,"Shamahi",0.355242,"B2"
10000001,30000015,"Sendaya",0.293933,"B2"
10000001,30000016,"Nazhgete",0.391497,"B2"
10000001,30000017,"Futzchag",0.172229,"B3"
10000001,30000018,"Kazna",0.231263,"B3"
10000001,30000019,"Podion",0.109705,"B3"
10000001,30000020,"Lilmad",0.160449,"B3"
10000001,30000021,"Kuharah",0.189705,"B3"
10000001,30000022,"Jayneleb",0.11384,"B3"
10000001,30000023,"Fovihi",0.869394,"B"
10000001,30000024,"Kiereend",0.840835,"B"
10000001,30000025,"Rashy",0.803266,"B"
10000001,30000026,"Ordize",0.695564,"B1"
10000001,30000027,"Psasa",0.749913,"B1"
10000001,30000028,"Eshtah",0.768433,"B"
10000001,30000029,"Lachailes",0.573051,"B1"
10000001,30000030,"Kasrasi",0.573076,"B1"
10000001,30000031,"Mohas",0.681783,"B1"
10000001,30000032,"Hasiari",0.798188,"B"
10000001,30000033,"Radima",0.75392,"B"
10000001,30000034,"Alkez",0.782123,"B"
10000001,30000035,"Nimambal",0.594051,"B1"
10000001,30000036,"Yishinoon",0.424718,"B2"
10000001,30000037,"Uplingur",0.422069,"B2"
10000001,30000038,"Dooz",0.423729,"B2"
10000001,30000039,"Bayuka",0.400722,"B2"
10000001,30000040,"Uzistoon",0.390646,"B2"
10000001,30000041,"Bairshir",0.364088,"B2"
10000001,30000042,"Moh",0.472835,"B1"
10000001,30000043,"Sari",0.379343,"B2"
10000001,30000044,"Faspera",0.128258,"B3"
10000001,30000045,"Jaymass",0.216311,"B3"
10000001,30000046,"Mifrata",0.303803,"B2"
10000001,30000047,"Majamar",0.369186,"B2"
10000001,30000048,"Ihal",0.492701,"B1"
10000001,30000049,"Camal",0.212977,"B3"
10000001,30000050,"Fera",0.477246,"B1"
10000001,30000051,"Juddi",0.649137,"B1"
10000001,30000052,"Maspah",0.799901,"B"
10000001,30000053,"Ibaria",0.730979,"B1"
10000001,30000054,"Shala",0.715564,"B1"
10000001,30000055,"Zemalu",0.725159,"B1"
10000001,30000056,"Khankenirdia",0.613596,"B1"
10000001,30000057,"Nikh",0.774198,"B"
10000001,30000058,"Amphar",0.702187,"B1"
10000001,30000059,"Salashayama",0.665586,"B1"
10000001,30000060,"Janus",0.545571,"B1"
10000001,30000061,"Agha",0.718783,"B1"
10000001,30000062,"Iosantin",0.450343,"B1"
10000001,30000063,"Orva",0.50995,"B1"
10000001,30000064,"Zet",0.569698,"B1"
10000001,30000065,"Akhrad",0.358477,"B2"
10000001,30000066,"Pirohdim",0.628696,"B1"
10000001,30000067,"Sharir",0.396849,"B2"
10000001,30000068,"Usroh",0.597458,"B1"
10000001,30000069,"Thiarer",0.542033,"B1"
10000001,30000070,"Gomati",0.387421,"B2"
10000001,30000071,"Jangar",0.527329,"B1"
10000001,30000072,"Nakah",0.363864,"B2"
10000001,30000073,"Irshah",0.429507,"B2"
10000001,30000074,"Hasateem",0.426496,"B2"
10000001,30000075,"Assah",0.297802,"B2"
10000001,30000076,"Tidacha",0.820099,"B"
10000001,30000077,"Odlib",0.824517,"B"
10000001,30000078,"Jofan",0.779548,"B"
10000001,30000079,"Milu",0.769625,"B"
10000001,30000080,"Yadi",0.750268,"B"
10000001,30000081,"Buftiar",0.708741,"B1"
10000001,30000082,"Jarizza",0.765431,"B"
10000001,30000083,"Ejahi",0.72891,"B1"
10000001,30000084,"Asghatil",0.794778,"B"
10000001,30000085,"Bar",0.665838,"B1"
10000001,30000086,"Sucha",0.658265,"B1"
10000001,30000087,"Gelhan",0.701676,"B1"
10000001,30000088,"Akeva",0.664835,"B1"
10000001,30000089,"Sosa",0.301179,"B2"
10000001,30000090,"Ilahed",0.315943,"B2"
10000001,30000091,"Eshwil",0.218968,"B3"
10000001,30000092,"Aranir",0.242789,"B3"
10000001,30000093,"Ishkad",0.366036,"B2"
10000001,30000094,"Hahyil",0.208115,"B3"
10000001,30000095,"Asilem",0.284998,"B2"
10000001,30000096,"Mahnagh",0.205003,"B3"
10000001,30000097,"Shach",0.326043,"B2"
10000001,30000098,"Kehrara",0.364844,"B2"
10000001,30000099,"Arena",0.44233,"B2"
10000001,30000100,"Timeor",0.314131,"B2"
10000001,30000101,"Uhtafal",0.499612,"B1"
10000001,30000102,"Dysa",0.236195,"B3"
10000001,30000103,"Serad",0.525836,"B1"
10000001,30000104,"Mahti",0.228282,"B3"
10000001,30000105,"Abha",0.434101,"B2"
10000001,30000106,"Shedoo",0.506118,"B1"
10000001,30000107,"Gamis",0.473906,"B1"
10000001,30000108,"Nieril",0.35344,"B2"
10000001,30000109,"Berta",0.489557,"B1"
10000001,30000110,"Bekirdod",0.405349,"B2"
10000001,30000111,"Hothomouh",0.422981,"B2"
10000001,30000112,"Arnola",0.462835,"B1"
10000001,30000113,"Astabih",0.408818,"B2"
10000001,30000114,"Ubtes",0.336073,"B2"
10000001,30000115,"Bimener",0.270041,"B2"
10000001,30000116,"Kenobanala",0.289398,"B2"
10000001,30000117,"Khabi",0.248619,"B3"
10000001,30000118,"Uanzin",0.433972,"B2"
10000002,30000119,"Itamo",0.671738,"C"
10000002,30000120,"Mitsolen",0.633706,"C"
10000002,30000121,"Jatate",0.637428,"C"
10000002,30000122,"Mahtista",0.658238,"C"
10000002,30000123,"Vaankalen",0.64717,"C"
10000002,30000124,"Kylmabe",0.731931,"C"
10000002,30000125,"Ahtulaima",0.612689,"C"
10000002,30000126,"Geras",0.650146,"C"
10000002,30000127,"Sirseshin",0.747993,"C"
10000002,30000128,"Tuuriainas",0.610849,"C"
10000002,30000129,"Unpas",0.945965,"B"
10000002,30000130,"Shihuken",0.874585,"B"
10000002,30000131,"Nomaa",0.606936,"C"
10000002,30000132,"Ansila",0.912017,"B"
10000002,30000133,"Hirtamon",0.974726,"A"
10000002,30000134,"Hykkota",0.823653,"B"
10000002,30000135,"Outuni",0.734172,"C"
10000002,30000136,"Ohmahailen",0.663811,"C"
10000002,30000137,"Eskunen",0.625294,"C"
10000002,30000138,"Ikuchi",0.986815,"A"
10000002,30000139,"Urlen",0.959995,"A"
10000002,30000140,"Maurasi",0.912748,"B"
10000002,30000141,"Kisogo",1,"A"
